IR0_cam,IR1_cam,IR2_cam,IR3_cam,IR0_meas,IR1_meas,IR2_meas,IR3_meas
10.78,17.88,8.41,16.61,954.0,945.5,168.0,111.0
10.59,19.96,8.25,15.27,954.0,945.5,168.0,111.0
10.56,17.57,8.22,17.4,954.0,945.5,168.0,111.0
10.56,19.91,8.22,15.23,954.0,945.5,168.0,111.0
10.56,19.91,8.22,15.23,954.0,945.5,168.0,111.0
21.1,3.17,11.91,14.37,954.0,945.5,168.0,111.0
10.35,19.57,8.04,14.96,954.0,945.5,168.0,111.0
11.58,17.83,9.1,14.45,954.0,945.5,168.0,111.0
15.99,12.47,12.87,9.86,954.0,945.5,168.0,111.0
15.71,12.64,12.64,10.0,954.0,945.5,168.0,111.0
15.99,12.47,12.87,9.86,954.0,945.5,168.0,111.0
15.49,12.79,12.44,10.13,954.0,945.5,168.0,111.0
15.71,12.64,12.64,10.0,954.0,945.5,168.0,111.0
15.71,12.64,12.64,10.0,954.0,945.5,168.0,111.0
15.49,12.79,12.44,10.13,954.0,945.5,168.0,111.0
15.25,12.95,12.24,10.27,954.0,945.5,168.0,111.0
12.72,8.6,2.43,20.95,954.0,945.5,168.0,111.0
15.71,12.64,12.64,10.0,954.0,945.5,168.0,111.0
18.59,6.05,5.04,20.87,954.0,945.5,168.0,111.0
15.71,12.64,12.64,10.0,954.0,945.5,168.0,111.0
17.49,4.55,6.8,17.49,954.0,945.5,168.0,111.0
15.71,12.64,12.64,10.0,954.0,945.5,168.0,111.0
15.71,12.64,12.64,10.0,954.0,945.5,168.0,111.0
15.71,12.64,12.64,10.0,954.0,945.5,168.0,111.0
15.25,12.95,12.24,10.27,954.0,945.5,168.0,111.0
15.71,12.64,12.64,10.0,954.0,945.5,168.0,111.0
15.71,12.64,12.64,10.0,954.0,945.5,168.0,111.0
13.8,11.63,2.91,20.34,954.0,945.5,168.0,111.0
15.49,12.79,12.44,10.13,954.0,945.5,168.0,111.0
15.49,12.79,12.44,10.13,954.0,945.5,168.0,111.0
14.0,11.8,3.0,20.59,954.0,945.5,168.0,111.0
13.03,8.85,2.57,21.4,954.0,945.5,168.0,111.0
15.25,12.95,12.24,10.27,954.0,945.5,168.0,111.0
15.02,13.11,12.05,10.41,954.0,945.5,168.0,111.0
15.49,12.79,12.44,10.13,954.0,945.5,168.0,111.0
15.25,12.95,12.24,10.27,954.0,945.5,168.0,111.0
15.02,13.11,12.05,10.41,954.0,945.5,168.0,111.0
