IR0_meas,IR1_meas,IR2_meas,IR3_meas,IR0_cam,IR1_cam,IR2_cam,IR3_cam
157,284,938,958,9.75,18.63,3.72,0.52
146,294,940,960,13.74,18.05,3.51,0.39
146,294,940,960,14.8,17.26,3.6,1.5
148,314,935,949,18.18,16.2,4.65,2.55
160,374,907,935,19.96,15.28,6.82,3.65
160,373,907,935,22.85,14.24,6.83,4.72
145,304,935,950,16.7,16.35,4.72,2.6
145,305,935,950,13.57,17.42,4.72,1.55
595,227,923,949,3.55,22.68,5.19,1.44
596,228,924,949,3.43,22.9,5.27,1.5
358,237,559,924,6.22,21.1,9.44,4.26
357,237,558,923,5.97,21.52,9.68,4.41
467,227,729,943,4.65,22.39,6.85,2.97
677,220,916,948,3.33,23.11,5.35,1.54
677,220,916,948,3.33,23.11,5.35,1.54
674,221,918,948,3.49,22.79,5.23,1.47
673,221,918,948,2.61,25.02,6.04,1.98
383,230,429,723,6.88,21.27,13.04,6.18
334,235,385,562,6.47,22.17,15.07,6.55
507,215,466,849,5.14,23.37,10.69,5.06
507,215,466,849,4.95,23.92,11,5.25
947,185,361,955,2.85,12.58,17.05,0.66
947,185,361,955,2.85,12.61,17.04,0.66
947,185,362,955,2.85,12.58,17.05,0.66
951,199,332,948,1.69,10.88,17.93,1.69
951,199,332,948,2.22,29.31,15.27,0.22
950,187,410,959,2.21,29.23,15.22,0.2
955,199,379,945,2.2,27.22,15.21,2.2
955,199,379,945,1.2,26.2,16.2,3.2
796,195,931,950,3.14,27.26,2.83,1.82
799,195,931,950,2.96,28.31,3.08,1.67
664,193,585,928,4.32,26.39,6.12,4.32
665,193,587,929,4.39,26.06,7.54,5.7
562,194,415,645,5.46,25.53,11.16,7.97
562,194,415,644,5.53,25.21,11,7.84
516,196,363,525,4.95,28.09,16.21,9.21
136,291,942,958,24.39,16.66,3.37,1.33
136,291,942,958,26.28,17.25,3.22,0.21
136,291,941,958,26.28,17.25,3.22,0.21
136,291,941,958,26.28,17.25,3.22,0.21
139,314,940,952,26.26,15.24,3.22,2.21
136,292,941,958,26.41,17.35,3.25,0.23
136,292,941,958,26.26,17.24,3.22,0.21
136,292,941,958,26.33,17.29,3.23,0.22
137,292,941,958,26.3,17.27,3.23,0.22
139,295,942,958,26.23,17.22,3.21,0.2
139,295,942,958,26.24,16.23,3.21,1.21
144,354,939,947,25.2,14.2,4.2,3.2
144,354,939,947,27.17,15.82,3.45,2.42
132,521,936,948,32.36,9.7,4.26,1.19
132,521,936,948,32.36,9.7,4.79,2.39
134,536,934,936,31.68,10.38,4.61,2.26
140,565,930,634,30.28,9.97,4.72,4.72
140,565,930,634,28.76,9.33,4.91,4.91
142,303,943,959,27.3,17.27,2.22,0.21
142,303,943,959,27.33,17.29,2.23,0.22
148,373,939,946,25.31,14.27,4.23,3.23
147,373,939,946,25.36,13.3,4.25,4.25
155,488,933,814,24.44,11.33,5.28,6.29
155,488,933,814,25,13.7,5.48,4.45
175,702,941,484,22.39,8.15,2.97,4.65
175,702,941,485,22.99,8.43,3.14,4.36
175,700,941,487,21.96,7.94,2.85,4.88
175,701,941,486,22.67,8.28,3.05,4.51
175,701,940,488,22.2,8.06,2.92,4.74
175,700,941,487,26.18,10.69,2.24,2.3
152,526,939,918,28.05,10.13,2.67,1.93
152,526,939,918,27.73,9.99,2.59,1.99
158,573,937,662,24.77,9.28,3.65,3.72
158,572,937,663,26.26,9.99,4.07,3.34
134,321,928,953,28.49,15.56,5.38,0.94
148,500,932,765,28.63,11.92,6.9,3.94
148,500,932,766,27.13,11.16,6.37,4.18
148,500,932,767,28.3,11.75,6.78,3.99
148,499,932,766,28.3,11.75,6.78,3.99
148,500,932,766,26.06,10.63,6,4.39
148,500,932,766,26.41,9.25,6.13,4.32
155,548,920,567,24.85,9.25,6.92,5.62
155,547,919,565,25.53,9.57,6.75,5.46
155,547,919,565,26.24,9.9,6.58,5.32
155,547,919,565,25.91,9.75,6.66,5.38
155,547,919,565,21.53,7.74,2.72,5.14
155,547,919,565,18.14,7.21,1.75,10.12
155,547,919,565,19.01,7.11,0.61,8.27
155,547,919,565,18.43,6.82,0.48,10.75
213,892,949,200,18.6,6.9,0.52,9.85
213,893,949,200,19.01,7.11,0.61,8.27
213,892,949,200,18.62,6.91,0.52,9.77
214,893,949,201,18.43,6.82,0.48,10.75
214,893,949,201,17.73,5.93,1.64,11.77
224,934,945,193,17.55,5.84,1.59,12.74
224,934,945,193,17.55,5.84,1.59,12.74
224,934,945,193,17.73,5.93,1.64,11.77
224,934,944,193,17.56,5.85,1.59,12.69
224,934,944,193,18.87,6.47,1.96,8.21
224,934,944,193,21.9,8.55,1.27,4.03
224,934,944,193,22.38,8.79,1.38,3.72
224,934,944,193,23.23,9.22,1.57,3.27
176,636,942,502,23.36,9.28,1.6,3.21
175,639,943,496,23.82,9.51,1.7,3.02
176,639,943,496,23.23,9.22,1.57,3.27
176,639,943,496,23.36,9.28,1.6,3.21
176,639,943,496,22.9,9.05,1.5,3.43
176,639,943,496,22.79,8.99,1.47,3.49
177,643,943,491,22.9,9.05,1.5,3.43
178,643,943,491,22.79,8.99,1.47,3.49
177,643,943,491,22.9,9.05,1.5,3.43
177,643,943,491,22.79,8.99,1.47,3.49
177,643,943,490,23.36,9.28,1.6,3.21
177,643,943,490,23.23,9.22,1.57,3.27
177,643,943,490,23.82,9.51,1.7,3.02
177,643,943,490,22.79,8.99,1.47,3.49
177,643,943,490,23.49,9.34,1.63,3.15
174,624,942,526,23.55,9.37,1.64,3.13
174,624,942,526,24.32,9.76,1.82,2.83
174,624,942,526,23.98,9.59,1.74,2.95
174,624,942,526,23.36,9.28,1.6,3.21
174,624,942,526,23.82,9.51,1.7,3.02
174,624,942,526,23.82,9.51,1.7,3.02
174,624,942,526,23.36,9.28,1.6,3.21
173,614,942,549,22.9,9.05,1.5,3.43
173,614,942,549,23.82,9.51,1.7,3.02
174,614,942,549,23.36,9.28,1.6,3.21
174,614,942,549,23.36,9.28,1.6,3.21
174,614,942,549,23.36,9.28,1.6,3.21
174,615,942,549,23.36,9.28,1.6,3.21
174,614,942,549,23.36,9.28,1.6,3.21
174,614,942,549,23.36,9.28,1.6,3.21
174,614,942,549,23.36,9.28,1.6,3.21
174,614,942,549,23.36,9.28,1.6,3.21
174,614,942,549,22.9,9.05,1.5,3.43
174,614,942,549,23.36,9.28,1.6,3.21
174,614,942,549,23.82,9.51,1.7,3.02
174,614,943,550,23.36,9.28,1.6,3.21
174,614,943,550,23.82,9.51,1.7,3.02
174,614,943,550,23.49,9.34,1.63,3.15
174,614,943,550,23.36,9.28,1.6,3.21
173,611,942,557,23.69,9.44,1.67,3.07
173,611,942,556,23.82,9.51,1.7,3.02
172,610,942,556,23.36,9.28,1.6,3.21
171,610,942,555,23.98,9.59,1.74,2.95
171,610,942,555,23.36,9.28,1.6,3.21
172,611,942,556,23.23,9.22,1.57,3.27
172,610,942,556,22.9,9.05,1.5,3.43
172,610,942,556,24.49,9.84,1.86,2.77
172,610,942,556,22.08,9.28,2.88,4.81
172,610,942,556,22.52,8.21,3.01,4.58
172,610,942,556,21.22,8.21,4.31,6.14
191,770,937,332,20.8,8,4.16,6.41
191,771,937,332,20.8,8,4.16,6.41
191,771,937,332,21.37,8.28,4.36,6.06
191,770,937,332,21.83,8.51,4.52,5.8
191,770,937,332,21.53,7.74,2.72,5.14
191,770,937,332,22.67,9.59,3.05,4.51
191,770,937,332,23.98,9.59,1.74,2.95
191,770,937,332,23.82,9.51,1.7,3.02
171,607,942,567,23.69,9.44,1.67,3.07
171,607,942,567,23.82,9.51,1.7,3.02
171,607,942,567,23.82,9.51,1.7,3.02
171,607,942,567,23.36,9.28,1.6,3.21
171,607,942,567,23.23,9.22,1.57,3.27
171,607,942,567,22.79,8.99,1.47,3.49
171,607,942,567,23.36,9.28,1.6,3.21
177,649,944,480,22.47,8.84,1.4,3.66
177,650,944,480,22.9,9.05,1.5,3.43
177,650,944,480,22.9,9.05,1.5,3.43
177,650,944,480,22.79,8.99,1.47,3.49
177,650,944,480,22.79,8.99,1.47,3.49
