IR0_cam,IR1_cam,IR2_cam,IR3_cam,IR0_meas,IR1_meas,IR2_meas,IR3_meas
12.23,0.21,16.23,14.23,939.0,241.0,347.0,279.0
12.23,2.21,16.23,12.23,938.0,233.0,341.0,266.5
12.23,4.22,16.24,10.23,931.0,231.0,332.5,283.0
12.23,6.22,16.23,8.22,918.0,235.5,324.5,295.5
12.21,8.2,16.21,6.2,774.0,241.0,325.0,352.5
12.22,10.22,16.22,4.21,574.0,244.0,324.0,500.0
12.21,12.21,16.21,2.2,469.0,245.0,331.0,695.5
12.21,14.21,16.21,0.2,397.5,244.0,338.0,688.0
10.24,14.25,18.26,0.22,392.0,219.0,408.0,715.0
6.38,14.5,22.62,0.29,390.5,193.0,718.0,847.5
4.23,14.25,24.28,0.22,384.0,188.0,925.0,940.0
2.21,14.23,26.24,0.21,382.0,179.5,943.5,946.5
0.3,14.54,27.25,0.3,382.5,175.0,957.5,952.5
0.26,14.39,28.52,0.26,383.0,176.0,959.0,955.0
20.27,4.23,8.24,10.24,934.5,505.0,207.0,203.5
22.89,4.45,6.5,10.59,936.0,770.5,196.0,198.0
24.77,4.39,4.39,10.5,935.0,938.0,186.0,196.0
28.84,4.39,0.31,10.5,935.0,950.0,177.0,184.0
28.38,4.25,0.23,10.29,936.0,959.0,171.0,173.5
28.62,6.35,0.27,8.37,924.0,955.0,173.0,195.5
26.69,6.38,2.32,8.41,924.0,949.0,180.0,205.0
26.92,8.52,2.38,6.47,777.0,950.0,176.0,271.0
26.59,10.4,2.3,4.32,550.0,949.0,176.5,499.5
26.69,12.48,2.32,2.32,466.5,948.5,179.5,554.5
24.61,12.44,4.34,2.31,464.0,940.0,184.5,556.0
25.14,10.7,4.51,4.51,603.5,939.0,185.0,417.5
2.2,10.2,26.21,4.2,555.0,183.5,944.0,903.0
14.21,8.2,14.21,6.2,735.0,299.0,271.0,314.0
18.24,8.22,10.23,6.22,752.0,427.5,221.0,265.0
18.23,10.22,10.22,4.21,574.0,423.0,223.5,463.0
18.23,12.22,10.22,2.21,473.0,433.0,223.0,548.5
18.31,14.3,10.28,0.23,379.0,419.0,232.0,572.5
20.38,14.34,8.3,0.24,381.0,552.0,213.0,581.0
0.3,14.53,27.53,0.3,376.0,181.0,957.0,931.0
1.07,17.12,6.49,1.07,353.0,218.0,945.0,923.5
4.38,12.53,24.75,2.35,446.0,190.0,938.0,919.5
8.21,10.21,20.22,4.21,567.0,213.5,524.5,548.5
10.2,10.2,18.2,4.2,559.0,237.5,377.0,414.0
14.21,10.21,14.21,4.2,559.5,297.0,280.0,530.5
16.21,10.21,12.21,4.2,548.5,362.5,242.0,560.0
