IR0_cam,IR1_cam,IR2_cam,IR3_cam,IR0_meas,IR1_meas,IR2_meas,IR3_meas
6.2,0.2,8.2,28.2,733,963,474,172
6.2,0.2,8.2,28.21,800,963,442,171
6.38,0.29,8.41,28.7,891,963,450,173
8.3,2.26,6.29,26.43,728.5,961.5,554,176.5
8.2,2.2,6.2,26.21,566,960,658,179
12.57,3.09,3.09,14.2,214,958.5,953,309
22.52,0.27,6.34,14.43,232.5,968.5,700,293
22.43,0.25,6.3,14.37,232,968,700,293
22.52,0.27,6.34,14.43,232,968,700,293
17.58,0.41,6.62,14.89,232,968,700,293
19.62,0.37,6.55,14.78,246.5,969,633,293
17.58,0.41,6.62,14.89,247,969,633,293
15.66,0.45,6.7,15.03,246,969,633,293
8.53,0.81,7.41,16.22,232,963,784,306
6.04,1.16,8.12,17.4,336,961,552,249
5.93,1.18,8.17,17.48,371,960,533,243
5.66,1.24,8.29,17.68,371,960,533,243
5.99,1.17,8.14,17.44,372,960,533,243
6.4,1.09,7.98,17.17,372,960,533,243
6.35,1.1,8,17.2,313,962,561,254
6.87,1.01,7.83,16.91,313,962,561,254
6.87,1.01,7.83,16.91,309,962,563,255
6.4,1.09,7.98,17.17,309,962,563,255
6.4,1.09,7.98,17.17,309,962,563,255
5.59,1.26,8.32,17.73,319.5,962,556,253
6.83,1.02,7.84,16.93,319,962,556,252
6.83,1.02,7.84,16.93,319,962,556,252
6.83,1.02,7.84,16.93,319,962,556,253
5.99,1.17,8.14,17.44,319,962,556,252.5
5.99,1.17,8.14,17.44,319,962,556,252
6.47,1.08,7.96,17.13,319,962,556,252
6.35,1.1,8,17.2,309,962,561,255
7.38,0.94,7.68,16.66,309,962,561,255
6.4,1.09,7.98,17.17,309,962,561,255
6.83,1.02,7.84,16.93,309,962,561,254
-3.31,-2.43,7.66,33.99,309,962,561,255
7.38,0.94,7.68,16.66,302,962,565,256
6.35,1.1,8,17.2,302,962,565,256
7.38,0.94,7.68,16.66,302,962,565,256
6.83,1.02,7.84,16.93,302,962,565,256
11.03,3.29,7.84,14.66,255,959,670,271
11.03,3.29,7.84,14.66,255,960,671,271
11.03,3.29,5.57,14.66,236,957,778,284.5
11.09,3.28,5.55,14.64,236,957,778,284
21.53,0.51,8.92,15.23,236,957,778,284
17.81,6.56,4.69,15.19,219,654,956,293
17.81,6.56,4.69,15.19,219,654,956,293
21.71,2.94,2.45,16.21,212,878,960,304
21.71,2.94,2.45,16.21,212,878,960,304
14.23,2.21,14.23,12.23,212,878,960,304
8.53,0.81,18.42,16.22,344,962,269,242
7.91,0.87,18.67,16.44,344,963,269,242
7.94,0.87,18.65,16.43,345,963,269,241
6.83,1.02,19.2,16.93,345,963,269,241
6.92,1,19.15,16.88,350,962,264,212
6.35,1.1,19.5,17.2,350,962,264,211
7.97,0.87,18.64,16.42,350,962,264,210
7.43,0.93,18.89,16.64,350,962,263,210
6.87,1.01,19.18,16.91,350,962.5,263.5,210
7.38,0.94,18.91,16.66,350,962,263,210
7.38,0.94,18.91,16.66,350,962,263,210
6.35,1.1,19.5,17.2,351.5,962,262.5,208
6.77,1.03,19.23,16.96,351.5,962,262,207
6.35,1.1,19.5,17.2,351,962,262,207
12.48,3.1,16.44,14.22,351,962,262,207
10.47,3.39,17.17,14.87,299,957,284,269
11.77,3.18,16.66,14.42,299,957,284,269
6.83,1.02,19.2,16.93,340,962,264,217
10.01,0.69,17.98,15.82,340,961,264,217
10.01,0.69,17.98,15.82,370,965,271,263
11.82,0.58,17.6,15.47,370,965,271,262
11.76,0.58,17.61,15.48,374,962,272.5,278
10.88,0.63,17.78,15.63,370,962,273,281
12.82,0.41,16.96,14.89,370,962,273,281
12.63,0.34,16.73,14.68,371,965,276,298
12.63,0.34,16.73,14.68,371,965,276,298
12.63,0.34,16.73,14.68,371,965,276,298
12.36,0.25,16.4,14.38,371,965,275,297
12.28,0.23,16.3,14.29,366,968,273,286
12.23,0.21,16.23,14.23,366,968,273,286
14.27,0.22,14.27,14.27,334,964,286,292
13.08,0.49,17.27,15.18,334,964,286,292
13.07,0.49,17.26,15.17,373,964,273,286.5
13.06,0.49,17.25,15.15,373,964,273,286
13.07,0.49,17.26,15.17,372,964,273,286
13.03,0.53,17.41,15.3,372,964,273,286
13.03,0.53,17.41,15.3,371,964,272,285
11.84,0.58,17.59,15.47,372,964,273,286
12.94,0.53,17.42,15.31,373,964,272,284
13.03,0.53,17.41,15.3,373,964,272,284
12.94,0.53,17.42,15.31,373,964,272,283
13.07,0.49,17.26,15.17,373,964,272,283
12.57,0.32,16.65,14.61,373,964,272,283
12.48,0.29,16.54,14.51,369,967,273,291
14.59,2.36,14.59,12.55,369,967,273,291
14.57,2.35,14.57,12.54,310,962,307,310
16.54,2.32,12.48,12.48,310,962,307,310
18.65,2.35,10.5,12.54,272,959,361,332
18.57,2.32,10.45,12.48,272,959,361,332
18.55,4.35,10.44,10.44,258,957,402,346
10.32,3.41,14.93,14.93,258,957,401,346
1.44,4.93,18.32,20.73,964.5,930.5,230,185
1.55,4.59,18.7,21.15,965,930,230,185
1.53,4.66,18.62,21.06,965,930,229,185
1.53,4.66,18.62,21.06,965,930,229,184
3.92,8.27,16.08,20.94,965,930,229,184
6.26,12.09,13.5,20.73,717,477,238,188
6.4,1.09,17.17,17.17,717,477,238,188
11.84,0.58,15.47,15.47,315,963,302,276
11.84,0.58,15.47,15.47,315,963,302,276
14.33,0.49,15.15,15.15,320,966,305,284
14.19,0.49,15.17,15.17,320,965,305,284
14.91,0.41,14.91,14.91,320,965,305,284
15.02,0.45,15.02,15.02,319,966,305,285
15.03,0.45,15.03,15.03,319,966,305,285
15.02,0.45,15.02,15.02,319,966,305,285
15.02,0.45,15.02,15.02,320,966,305,285
15.02,0.45,15.02,15.02,319,966,305,285
14.8,0.38,14.8,14.8,319,966,305,285
11.82,0.58,15.47,15.47,319,966,305,285
10.01,0.69,15.82,15.82,324,965,295,274
11.84,0.58,15.47,15.47,324,965,295,274
11.84,0.58,15.47,15.47,324,965,295,273.5
14.19,0.49,15.17,15.17,324,965,295,274
12.94,0.53,15.31,15.31,326,966,298,279
17.42,2.64,13.2,13.2,326,966,298,279
17.42,2.64,13.2,13.2,276,960,354,310.5
17.25,2.58,13.06,13.06,276,960,355,311
